,Actual,mean,sd,2.50%,97.50%
1,0.5,0.224402344,0.060590298,0.12346689,0.364263073
2,0.75,0.070137766,0.058513523,0.009027082,0.226912679
3,0.85,0.113405239,0.09578593,0.014198699,0.379498643
4,0.95,0.079405182,0.073884191,0.008959889,0.289539004
5,0.6|0.7|0.6|0.5,2.950376969,0.026531006,2.90021202,3.000700078
6,1.9,4.508871825,0.025131255,4.459478163,4.558731323
7,-0.5,-1.101111801,0.027448309,-1.153780613,-1.04762185
8,-1.4,-3.342805271,0.02781722,-3.395520905,-3.289804778
9,0,-0.003764575,0.020352512,-0.042661836,0.036842011
10,0,0.016951926,0.021130909,-0.023557684,0.060104522
11,93.48,93.48,93.48,93.48,93.48
